fecha,hora,spot,altura_ola,periodo_ola,energia,direccion_ola,velocidad_viento,rafagas_viento,temp_mar,puntuacion
2026-08-25,08:00,Planetario,0.55,4.2,1.3,85,6.5,9.2,26.5,6
2026-08-25,11:00,Planetario,0.60,4.5,1.6,80,5.0,7.5,26.8,7
2026-08-25,14:00,Planetario,0.75,5.0,2.8,75,7.2,10.1,27.0,8
2026-08-25,17:00,Planetario,0.65,4.8,2.0,80,11.0,15.2,26.9,6
2026-08-26,08:00,Voramar,0.85,6.2,4.5,65,7.0,9.0,26.4,8
2026-08-26,11:00,Voramar,1.05,6.8,7.5,60,6.0,8.5,26.7,9
2026-08-26,14:00,Voramar,1.15,7.2,9.5,58,5.5,7.0,27.0,9
2026-08-26,17:00,Voramar,0.90,6.5,5.3,62,8.0,11.0,26.8,7
2026-08-27,08:00,Gurugú,0.45,3.8,0.8,90,4.5,6.0,26.2,5
2026-08-27,11:00,Gurugú,0.50,4.0,1.0,88,6.0,8.0,26.5,6
2026-08-27,14:00,Gurugú,0.70,4.5,2.2,82,8.5,12.0,26.8,7
2026-08-27,17:00,Gurugú,0.60,4.2,1.5,85,12.0,16.5,26.5,5
2026-08-28,08:00,El Palaciet,0.70,5.5,2.7,70,5.5,7.5,26.3,7
2026-08-28,11:00,El Palaciet,0.95,6.5,5.9,65,6.0,8.0,26.6,8
2026-08-28,14:00,El Palaciet,1.00,6.8,6.8,60,5.0,6.5,26.9,9
2026-08-28,17:00,El Palaciet,0.80,6.0,3.8,68,7.5,10.0,26.7,7
2026-08-28,08:00,Peñíscola Norte,0.90,6.0,4.9,45,9.0,12.5,25.8,7
2026-08-28,11:00,Peñíscola Norte,1.10,6.5,7.9,40,8.0,11.0,26.0,8
2026-08-28,14:00,Peñíscola Norte,1.25,7.0,10.9,38,7.0,9.5,26.4,9
2026-08-28,17:00,Peñíscola Norte,1.00,6.2,6.2,42,10.5,14.0,26.1,7
2026-08-28,08:00,Burriana,0.50,4.0,1.0,95,5.0,7.0,26.6,6
2026-08-28,11:00,Burriana,0.65,4.5,1.9,90,6.5,8.5,26.9,7
2026-08-28,14:00,Burriana,0.80,5.0,3.2,85,7.0,9.5,27.1,8
2026-08-28,17:00,Burriana,0.65,4.5,1.9,88,9.5,13.0,26.9,6
